SPJuquitiba;352620;3526209;SP;Juquitiba;Região Sudeste;28737;Pequeno II;;
SPLagoinha;352630;3526308;SP;Lagoinha;Região Sudeste;4841;Pequeno I;;
SPLaranjal Paulista;352640;3526407;SP;Laranjal Paulista;Região Sudeste;25251;Pequeno II;;
SPLavínia;352650;3526506;SP;Lavínia;Região Sudeste;8779;Pequeno I;;
SPLavrinhas;352660;3526605;SP;Lavrinhas;Região Sudeste;6590;Pequeno I;;
SPLeme;352670;3526704;SP;Leme;Região Sudeste;91756;Médio;;
SPLençóis Paulista;352680;3526803;SP;Lençóis Paulista;Região Sudeste;61428;Médio;;
SPLimeira;352690;3526902;SP;Limeira;Região Sudeste;276022;Grande;;
SPLindóia;352700;3527009;SP;Lindóia;Região Sudeste;6712;Pequeno I;;
SPLins;352710;3527108;SP;Lins;Região Sudeste;71432;Médio;;
SPLorena;352720;3527207;SP;Lorena;Região Sudeste;82537;Médio;;
SPLourdes;352725;3527256;SP;Lourdes;Região Sudeste;2128;Pequeno I;;
SPLouveira;352730;3527306;SP;Louveira;Região Sudeste;37125;Pequeno II;;
SPLucélia;352740;3527405;SP;Lucélia;Região Sudeste;19882;Pequeno I;;
SPLucianópolis;352750;3527504;SP;Lucianópolis;Região Sudeste;2249;Pequeno I;;
SPLuís Antônio;352760;3527603;SP;Luís Antônio;Região Sudeste;11286;Pequeno I;;
